A,B
3.3791222905349563,-2.227508142272514
4.895165971571527,-1.991730032176967
4.70422564272613,-2.630268939752417
2.069320259045537,-2.607981127420492
2.4003028714579093,-2.41906037227494
2.4731202626575293,-2.0612715009267273
4.242512248133805,-1.961151361497641
4.4062119592044295,-1.9247707557846438
5.139185188164753,-2.1085324697450742
4.41971111668813,-1.6389421919552105
3.320058328200038,-1.8404073206955651
3.5495287237657713,-1.8095472556449377
3.333385320693545,-1.9773045726254062
4.262402566634933,-1.4412990561870274
5.095255847473253,-2.104465036988667
4.325794160599232,-1.6666771844363213
3.253052981314397,-2.223397686252467
4.600862549814659,-1.5409902428674715
5.638057951295614,-1.6887725426768954
3.3782278880851964,-1.68418166571767
4.180458663152399,-2.121852796752325
4.17560003302681,-2.2882986630127657
4.652995897669248,-2.3004215640773116
6.9,-0.8
4.51153303394989,-1.9375441642471432
2.393916885403595,-1.1108830479160368
3.107788513615043,-2.5555464431982213
5.154423036468254,-1.941987829811022
4.162151766249289,-1.7001389878597353
2.5628317068289594,-1.9580247761307072
2.5726226032014625,-2.018409266839865
2.96482011763007,-2.3793146763427546
2.4348120344377047,-2.2202346951397405
4.516065814339973,-2.1047059003789106
1.85459463256075,-1.9698579036793444
3.7186759205458255,-1.6429428501728691
4.3588786899656204,-2.5959839791639814
4.18115026937342,-2.135374991372252
4.1082524083226915,-1.672119128561742
2.4066016192757225,-2.0668246833301573
4.632544122105012,-1.6665559821244955
3.4272677899656774,-2.2637185265907998
4.750623339581122,-1.748499580060048
5.165373499759056,-1.7022735906598137
3.7541035065149817,-1.8986531623195169
4.241072947321537,-1.899519438507359
3.2728314227267292,-2.1001291725652984
2.5305609139388894,-1.8347657999364866
4.5782985707448,-1.6039087367332376
3.6035311479637304,-2.397874786153717
4.532279542048782,-2.4426680750168934
2.2466714739895224,-1.9295026300062637
4.461076557628631,-1.8963267610023806
6.983110679769416,-2.420925940269545
4.601642356718647,-1.918640655971668
4.706092526677787,-2.1051331457175855
4.007128963545629,-2.001649198897142
2.6006052498133148,-1.780905164615728
2.3997115720065967,-2.5559864863923982
4.040461979401088,-2.227166945466308
3.3219147772993645,-2.060718252974563
3.3521036163744036,-1.7850893757296622
4.416230704799979,-2.0176004713460003
5.14196712773138,-1.8903591493557355
3.579980106339906,-1.9115368510944468
4.092400194648754,-1.6296479809298925
4.231702914590621,-1.8536767874744795
3.2021407965677913,-2.570118952893022
4.829889222329702,-1.8783286073781038
4.101021440068238,-2.202150710177134
3.674900062449912,-2.0800366324846156
2.7443068636418246,-2.023855030190509
5.5389201469366,-1.6712622979507925
4.523821738148467,-2.104104113556112
4.680384079038596,-1.8856979372606237
3.5184236095475523,-1.8792933952810802
3.944985346862623,-2.1265041915774527
3.964078243785307,-2.3876369277599276
2.3459888229211234,-2.3077360810935965
4.257058103055102,-1.7060991259315887
4.864581388784118,-2.2866560260063933
4.049300981875671,-2.3342510806299517
2.946625643521668,-2.1655332745038125
6.33288894902548,-1.4063875853673276
2.644543766182474,-1.836936656985268
4.503130839274742,-2.1987907315463544
5.698625783477125,-1.8588255794672333
3.367154997368217,-1.623627584092032
4.954764942203421,-1.2556431846590679
2.642877035813732,-2.1936478803846726
3.2435579578452463,-2.290616730579365
3.9533926387895266,-1.8265077550892035
3.630571312134508,-2.3770964559165764
4.6972399685309245,-1.6197634765531144
3.7953685843903577,-2.5784840848957713
4.4052939351831375,-2.20810051028858
3.4231833891300965,-1.379467153678016
4.150207359461985,-1.7867531451078311
3.618269064202021,-2.1419130969322744
4.669051626904466,-1.940842334355012
3.5487970583098427,-1.3376620783803337
3.4817171502868405,-1.8472323872659822
3.1661983024360745,-1.6569734346184002
4.274000313363543,-1.7465832414706977
11.4,-1.6399150636006983
4.738423589328068,-2.4809052139613135
4.1643001027132085,-1.4205068742087588
3.047140005537596,-1.673046170784266
4.514795142816174,-1.9828047133182238
3.2058184176707374,-1.744055171638777
4.497242141935853,-1.9041681949401725
4.911137094507913,-1.954489256356198
2.1851839278054195,-1.910524467464546
4.184823742535362,-2.2039571271393568
3.585756809682799,-1.4156573637223613
2.7018416835573573,-2.2022143793944386
3.4878097827237555,-1.9429701874640262
4.051815640408769,-2.359954251207378
4.178318180042745,-1.9126435203715733
4.193514494355863,-2.250013036519707
4.6203697184499,-1.6591142140701625
5.3134934975420265,-1.612813765293832
3.8770082924269125,-1.7291934236812403
4.969646774060857,-2.4063854290605855
3.457487704465607,-2.130242987005482
3.8561363327443163,-2.0483751929015335
5.723432201659804,-1.870437945878537
4.662785535141736,-1.792659386364389
3.5220017063526803,-1.652812222138629
5.550372808670206,-1.9801730134601574
2.6963206203913277,-1.4938997526438778
4.842181207515194,-1.9852264138485205
3.35945536134172,-1.9370147701550517
4.786297107267875,-1.7843585604749812
5.868641497563399,-1.941088552125576
4.431514171861577,-2.005582600516926
4.886577831237334,-1.1046361537350138
3.4905717753019845,-1.4381133671453603
1.2236299076506767,-1.9216675355441941
4.188794712235969,-1.9263950959090488
2.839271685699403,-2.2876530731887748
3.7312940544254687,-1.2422707719843342
4.442135017037285,-1.827109142332278
2.9850005773460593,-1.8759922263645252
2.374273759063179,-1.457967649150833
4.227276587808467,-2.8549563258147983
4.982095546976819,-1.5686075675828035
3.0780031118343034,-2.4905663468461143
5.325406235968853,-2.1569750980975333
4.210769679972725,-2.002557614592082
2.7536047117711933,-1.7806273897191998
3.7417836184416524,-2.268816278922283
4.3614581205628005,-2.3632731524505473
4.4612703720156865,-2.6756310259054876
3.7880090427081257,-2.3299967285355523
4.271142196160391,-1.5638112113850224
3.341977001886628,-1.8221748631583832
4.336824020139899,-1.6908419752802901
3.595201394083291,-2.3725025338861903
3.836193657823908,-2.3668725424175423
3.5078365442223687,-1.8002692747191271
